,,          Red & Green Flag example bank,,,,,
Values your independence and gives you the space you need.,Doesn’t respect your need for space or alone time.,Respecting personal space means understanding the importance of alone time or independence for well-being. Disrespecting this can lead to feelings of suffocation.,"You ask for an evening to yourself, and they show up at your door uninvited.","Without respecting personal space, it’s hard to maintain individuality and emotional health.",,"1. Say, 'I need some time to recharge; it’s nothing personal.'
2. Establish clear boundaries for alone time and independence.",Respect and Boundaries
Honors your emotional boundaries without making it a big deal.,Brushes off your emotional needs or acts like your boundaries don’t matter.,Emotional boundaries are crucial for maintaining mental health. Dismissing them shows a lack of empathy and respect.,"You express feeling overwhelmed, and they say, ""I don’t see why you’re upset.""",Dismissing emotional boundaries leads to feelings of invalidation and emotional distress.,,"1. Share, 'I need you to respect how I feel, even if you don’t understand it.'
2. Discuss what emotional boundaries look like for you.",Respect and Boundaries
Respects your time and never takes it for granted.,Demands your attention without caring about your schedule.,Time boundaries ensure mutual respect for each other's schedules and commitments. Ignoring them creates tension and resentment.,"They expect you to drop everything to talk, even during your busiest work hours.",Ignoring time boundaries shows a lack of respect for your priorities and creates resentment.,,"1. Say, 'I need you to consider my schedule before asking for my time.'
2. Set realistic expectations for availability.",Respect and Boundaries
Always asks for consent and makes sure you’re comfortable.,Pushes physical boundaries or ignores when you’re clearly uncomfortable.,Physical boundaries protect comfort and safety. Pushing them damages trust and creates discomfort.,They ignore your verbal or non-verbal cues when you’re clearly uncomfortable.,Violating physical boundaries undermines trust and safety in the relationship.,,"1. Share, 'I need you to respect when I’m not comfortable with physical contact.'
2. Encourage discussions about consent.",Respect and Boundaries
"Values your opinions, even when they don’t agree.",Belittles or makes fun of your opinions and beliefs.,Respecting opinions fosters equality and mutual respect. Belittling them creates insecurity and conflict.,"During a debate, they laugh and call your opinion ""silly.""",Belittling opinions fosters insecurity and weakens mutual respect.,,"1. Say, 'We don’t have to agree, but I need my opinions to be respected.'
2. Practice listening to each other without judgment.",Respect and Boundaries
Cheers you on and trusts you to make your own decisions.,Tries to control your choices or undermine your decisions.,Autonomy allows individuals to make their own choices. Undermining it leads to control and dependency issues.,"They try to dictate your career choices, saying, ""That’s not what’s best for us.""",Undermining autonomy stifles growth and creates dependency or resentment.,,"1. Share, 'I want your support, not your control, in my decisions.'
2. Reinforce the importance of autonomy in the relationship.",Respect and Boundaries
Keeps your privacy sacred and never snoops.,Invades your privacy by snooping or digging into your personal life.,Privacy is fundamental for trust. Invading it without consent violates security and respect.,"They dig through your personal emails, claiming they were ""just curious.""",Invasion of privacy creates feelings of violation and erodes trust.,,"1. Say, 'I need my privacy to feel safe in this relationship.'
2. Set boundaries around personal items and information.",Respect and Boundaries
Honors your social limits and never pushes you to do more than you want.,Pressures you into social situations you’re not okay with.,Social boundaries reflect individual comfort levels with interactions. Pressuring someone disregards their preferences.,They push you to attend a party with people you’ve said make you uncomfortable.,Ignoring social boundaries makes you feel pressured and uncomfortable.,,"1. Share, 'I appreciate your enthusiasm, but I’m not comfortable with this.'
2. Discuss your social boundaries openly.",Respect and Boundaries
Handles disagreements with calmness and a focus on finding solutions.,Uses arguments as a way to gain control instead of working through problems.,Healthy conflict resolution focuses on solutions. Power plays create division and resentment.,"During a disagreement, they interrupt and take control of the conversation instead of listening.",Using conflict to dominate leads to unresolved issues and emotional strain.,,"1. Say, 'Let’s focus on resolving this rather than trying to win.'
2. Use conflict resolution strategies like active listening.",Respect and Boundaries
"Communicates with kindness, even when emotions are running high.",Uses harsh or dismissive words when things get heated.,Respectful communication builds trust. Aggressive language erodes emotional safety.,"During an argument, they snap, ""You’re being ridiculous,"" instead of discussing the issue calmly.",Aggressive communication damages trust and emotional safety in the relationship.,,"1. Share, 'I need us to communicate respectfully, even when we’re upset.'
2. Practice pausing and rephrasing during disagreements.",Respect and Boundaries
Keeps their word and follows through every time.,Breaks promises or drops the ball on commitments too often.,Follow-through reflects reliability and respect for commitments. Failing to meet promises damages trust.,"They promise to pick up the kids but forget, leaving you scrambling for a solution.",Broken promises erode trust and leave you feeling undervalued.,,"1. Share, 'I need us to follow through on what we agree to.'
2. Discuss strategies to ensure commitments are met.",Commitment and Consistency
Brings steady emotional support to the relationship.,Keeps you guessing with emotional ups and downs.,Emotional stability creates a sense of safety. Inconsistency can make the relationship feel volatile.,"One day they’re affectionate and supportive, the next they’re cold and distant without explanation.",Emotional inconsistency makes the relationship feel unstable and uncertain.,,"1. Share, 'I need to feel like I can rely on your emotional presence.'
2. Establish ways to check in regularly.",Commitment and Consistency
Shows loyalty you can see in both their words and actions.,Acts disloyal or doesn’t follow through on their commitments.,Loyalty involves showing alignment in words and actions. Disloyalty creates doubt about their commitment.,They assure you they’ll handle a big family responsibility but back out at the last minute.,Disloyalty creates emotional insecurity and undermines mutual respect.,,"1. Say, 'I need consistency in how you represent our relationship.'
2. Set expectations for loyalty in actions and words.",Commitment and Consistency
Puts in regular effort to keep the relationship strong and happy.,"Puts in effort only when it’s convenient, leaving you feeling neglected.",Effort shows dedication to the relationship. Sporadic involvement signals a lack of prioritization.,They only engage in date nights or meaningful conversations when it suits their schedule.,Neglecting effort over time weakens the relationship's foundation.,,"1. Share, 'I’d like us to keep making an effort to grow together.'
2. Schedule regular quality time to nurture the relationship.",Commitment and Consistency
Is always dependable when you need them most.,Isn’t there for you when it really matters.,Dependability means being there when it matters most. Failing this undermines trust.,"You’re sick and need help, but they prioritize a night out with friends instead.",Being unreliable makes you feel unsupported and alone during critical moments.,,"1. Say, 'I need to feel like I can count on you when it matters.'
2. Discuss ways to improve reliability during important moments.",Commitment and Consistency
Matches their everyday actions to the big picture goals for the relationship.,Avoids talking about the future or acts in ways that don’t align with shared goals.,Long-term goals align actions today with the future. Avoidance of this leads to uncertainty.,"When you bring up saving for a home, they brush it off or continue spending irresponsibly.",Avoidance of future planning creates doubts about the relationship's direction.,,"1. Share, 'I want to talk about where we’re headed and how we get there.'
2. Set regular check-ins for discussing future goals.",Commitment and Consistency
Handles changes with grace while keeping the relationship steady.,Resists change and creates unnecessary strain during transitions.,Adaptability allows the relationship to grow with life's changes. Resistance causes friction.,They complain about changes in your routine rather than finding a way to adjust together.,Resistance to change creates tension and stalls growth within the relationship.,,"1. Say, 'I know changes are tough, but let’s figure this out together.'
2. Brainstorm ways to adapt and support each other.",Commitment and Consistency
"Builds and keeps trust through thoughtful, consistent actions.",Sends mixed signals with inconsistent behavior.,Trustworthiness is earned through consistent actions. Inconsistency fosters insecurity.,They text sweet messages one day but ignore your calls the next.,Inconsistent behavior erodes trust and makes intentions unclear.,,"1. Share, 'Consistency helps me feel secure. Can we work on that?'
2. Identify patterns and address inconsistencies together.",Commitment and Consistency
"Approaches conflicts with calm, steady behavior that feels safe.",Handles conflicts in ways that feel chaotic or hurtful.,Conflict resolution consistency builds emotional safety. Erratic behavior damages connection.,"During conflicts, they yell or storm out, leaving issues unresolved.",Erratic conflict resolution creates fear and emotional distance.,,"1. Say, 'Let’s focus on resolving this the same way we did last time.'
2. Practice consistent and constructive conflict resolution methods.",Commitment and Consistency
Creates little routines that make the relationship feel connected and strong.,"Skips out on building steady routines, making things feel unstable.",Routines build stability and reliability. Neglecting them creates uncertainty.,"They constantly forget routines like helping with dinner or family traditions, causing chaos.",Lack of routines leads to instability and difficulty maintaining connection.,,"1. Share, 'Let’s create routines that help us stay connected.'
2. Build small rituals like weekly dates or daily check-ins.",Commitment and Consistency
"Co-parents with respect and teamwork, making it feel easy.",Undermines or speaks poorly about the other parent in front of the kids.,Healthy co-parenting involves mutual respect and collaboration. Undermining the other parent confuses children and creates tension.,They complain about your parenting decisions in front of the kids.,Negative talk about co-parents damages children’s sense of stability and emotional safety.,,"1. Agree to discuss parenting concerns privately.
2. Focus on shared goals for the children’s well-being.",Parenting and Family Dynamics
"Stays fair and consistent with discipline, keeping it age-appropriate.",Uses discipline methods that are either all over the place or overly harsh.,Discipline should teach responsibility and self-control. Harsh or inconsistent methods harm trust and emotional health.,They ground the kids for minor issues one week but ignore major problems the next.,"Inconsistent discipline creates confusion and undermines authority, while harsh methods damage trust.",,"1. Create a consistent discipline plan together.
2. Adjust methods to ensure they are age-appropriate and fair.",Parenting and Family Dynamics
Prioritizes family time to keep everyone feeling close and loved.,Prioritizes other things over quality family time again and again.,Family time strengthens bonds and creates lasting memories. Neglecting it weakens connection and fosters disconnection.,They frequently choose work or hobbies over spending time with the family.,Neglecting family time weakens bonds and creates emotional distance.,,"1. Schedule regular family activities that everyone values.
2. Set boundaries to prioritize family time over other obligations.",Parenting and Family Dynamics
"Talks openly and respectfully with kids, making them feel heard.",Brushes off or dismisses children’s feelings and ideas.,Open communication with children builds trust and mutual respect. Dismissiveness damages their confidence and self-worth.,"When the kids share a problem, they respond with, ""You’ll be fine,"" instead of listening.",Invalidating children’s feelings damages their self-esteem and ability to communicate openly.,,"1. Practice active listening with children.
2. Reassure them their thoughts are important and valued.",Parenting and Family Dynamics
Supports and respects parenting differences without judgment.,Criticizes or disrespects their partner’s parenting approach.,"Parenting styles often differ, but mutual respect ensures harmony. Criticism causes conflict and insecurity.","They tell you your parenting style is ""wrong"" in front of others.",Criticizing parenting styles causes tension and undermines partnership.,,"1. Share, 'I respect your approach; can we find a way to blend our styles?'
2. Create a united front for the kids.",Parenting and Family Dynamics
"Includes everyone in family decisions, giving each voice value.",Makes family decisions without including or considering everyone involved.,Family decisions should involve everyone. Excluding others fosters resentment and a lack of unity.,They plan a family vacation without asking for input from you or the kids.,Excluding family members from decisions creates resentment and weakens family unity.,,"1. Hold family meetings for major decisions.
2. Ensure everyone feels heard and valued.",Parenting and Family Dynamics
Works toward harmony and togetherness in blended family life.,Lets favoritism or tension mess up the balance in a blended family.,Blended families thrive on inclusivity and fairness. Tension or favoritism causes division and mistrust.,"They favor one child consistently, leaving the others feeling left out.",Favoritism or tension in blended families causes division and emotional harm.,,"1. Create a family charter that outlines shared values.
2. Hold regular check-ins to address feelings and concerns.",Parenting and Family Dynamics
Models the kind of behaviors and values you want for the kids.,Doesn’t practice the values they want to teach the kids.,Children learn from watching adults. Contradictory behaviors confuse their understanding of values.,They stress the importance of honesty but lie to get out of commitments.,Inconsistent role modeling confuses children and weakens their value system.,,"1. Reflect on your actions to ensure alignment with values.
2. Involve children in discussions about values and behaviors.",Parenting and Family Dynamics
Sets boundaries with extended family while keeping things healthy and kind.,Lets extended family overstep boundaries and cause drama.,Healthy boundaries with extended family ensure that the immediate family remains the priority.,They allow their parents to overstep boundaries by undermining your parenting decisions.,Lack of boundaries with extended family undermines the immediate family’s autonomy.,,"1. Set clear expectations with extended family about their role.
2. Enforce boundaries respectfully but firmly.",Parenting and Family Dynamics
Balances children’s needs with keeping the relationship strong and connected.,"Puts their own desires above the needs of the kids, leaving them feeling overlooked.","Children's needs should always take precedence, ensuring their emotional and physical well-being.",They spend money on luxury items for themselves but claim there’s no budget for the kids’ extracurricular activities.,Neglecting children’s needs impacts their development and emotional security.,,"1. Regularly evaluate spending priorities to ensure children’s needs are met.
2. Balance personal desires with family responsibilities.",Parenting and Family Dynamics
Loves diving into shared hobbies and fun activities together.,"Shows no interest in shared hobbies, making connection feel one-sided.",Shared hobbies strengthen connection and create shared memories. Ignoring them diminishes opportunities for bonding.,"They refuse to join in a shared hobby like hiking, saying, ""That’s not my thing,"" while expecting you to engage in theirs.",Neglecting shared hobbies reduces opportunities for connection and bonding.,,"1. Suggest trying hobbies together to find common ground.
2. Discuss activities you both might enjoy exploring.",Lifestyle and Interests
Totally respects your “me time” for personal hobbies and passions.,Dismisses your personal hobbies as if they don’t matter.,Personal hobbies foster individuality and balance. Criticizing them can lead to feelings of inadequacy or control.,"When you talk about your new craft project, they roll their eyes and say, ""Why bother?""",Criticizing personal hobbies stifles individuality and creates resentment.,,"1. Say, 'I need you to respect my personal hobbies as part of who I am.'
2. Set boundaries around personal interests.",Lifestyle and Interests
"Prioritizes health and cheers on a balanced, feel-good lifestyle.","Ignores health and wellness, treating it as an afterthought.",A focus on health supports a long and fulfilling relationship. Neglecting it can cause avoidable challenges.,"They frequently skip doctor appointments or dismiss healthy meal planning as ""too much effort.""",Neglecting health impacts both partners' quality of life and relationship longevity.,,"1. Share, 'I’d like us to focus on making health a priority together.'
2. Set shared health goals or activities.",Lifestyle and Interests
Joins in on social plans you both actually enjoy.,Pushes you into social plans you’re not excited about.,Mutually enjoyable social activities build connection. Pressure to engage in unwanted activities breeds resentment.,They insist on attending a loud party when you’ve expressed a preference for a quiet night in.,Social pressure causes discomfort and weakens trust and autonomy.,,"1. Say, 'I need to feel comfortable in social settings. Can we find a compromise?'
2. Balance social activities with alone time.",Lifestyle and Interests
Finds common ground on travel plans or meets you halfway on compromises.,"Refuses to meet in the middle on travel plans, making it all about them.",Compromising on travel ensures both partners feel considered. Rigidity leads to dissatisfaction.,"They refuse to compromise on a vacation destination, saying, ""We’re going where I want.""",Rigidity in travel preferences creates imbalance and dissatisfaction.,,"1. Discuss travel goals and budget preferences openly.
2. Alternate between each partner’s travel preferences.",Lifestyle and Interests
